"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
336859;2021-01-26;"terça";"15:00:00";"BA";116;"581";"NOVA ITARANA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-13,1062;-39,9953;"SR-BA";"UOP02";"DEL03"
336860;2021-01-27;"quarta";"09:30:00";"MG";40;"804.9";"MATIAS BARBOSA";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Não Informado";"Não";2;0;0;1;1;0;1;2;-21,86313979;-43,37348589;"SR-MG";"UOP01";"DEL05"
336861;2021-01-24;"domingo";"06:45:00";"RO";364;"340";"JI-PARANA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-10,898802;-61,93046;"SR-RO";"UOP01";"DEL02"
336862;2021-01-27;"quarta";"05:30:00";"AM";319;"19";"CAREIRO DA VARZEA";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-3,2419802;-59,86526628;"SR-AM";"UOP03";"DEL01"
336863;2021-01-27;"quarta";"09:25:00";"SP";381;"58";"MAIRIPORA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Não Informado";"Não";3;0;0;1;2;0;1;2;-23,27438497;-46,58530615;"SR-SP";"UOP01";"DEL03"
336866;2021-01-27;"quarta";"10:00:00";"MG";381;"717";"CARMO DA CACHOEIRA";"Objeto estático sobre o leito carroçável";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;0;1;2;0;1;1;-21,43704005;-45,20756491;"SR-MG";"UOP02";"DEL04"
336867;2021-01-27;"quarta";"09:40:00";"RJ";116;"223.7";"PIRAI";"Curva acentuada";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Não";2;0;2;0;0;0;2;1;-22,67294662;-43,82961273;"SR-RJ";"UOP01";"DEL07"
336868;2021-01-27;"quarta";"10:00:00";"MG";262;"354";"BETIM";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-19,96216513;-44,16346396;"SR-MG";"UOP03";"DEL01"
336869;2021-01-27;"quarta";"09:50:00";"SP";381;"35.5";"ATIBAIA";"Pista em desnível";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-23,088586;-46,571798;"SR-SP";"UOP01";"DEL03"
336870;2021-01-27;"quarta";"09:40:00";"RS";386;"417";"MONTENEGRO";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Dupla";"Rotatória";"Não";1;0;1;0;0;0;1;1;-29,81978202;-51,4505142;"SR-RS";"UOP02";"DEL04"
